mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_beta_params,param_n_components,param_scale,param_spectral_radius,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30.898948272069294,7.077606424490662,0.025220870971679688,0.00010101803918474154,"(0, 0.01)",4,0.01,0.3,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 0.01, 'spectral_radius': 0.3}",-0.008460570765085391,-0.022944423053459884,-0.012579014019515063,-0.014661335946020114,0.006093578189759311,60
15.237538576126099,3.3626874206637156,0.02586476008097331,0.001608157161648651,"(0, 0.01)",4,0.01,0.6,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 0.01, 'spectral_radius': 0.6}",-0.017510581450779206,-0.02609227222237572,-0.017670486304749895,-0.02042444665930161,0.004008289523030836,66
10.599818785985311,1.3972567723011318,0.025955359141031902,0.000982090519082382,"(0, 0.01)",4,0.01,0.9,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 0.01, 'spectral_radius': 0.9}",-0.033923447621492665,-0.041716667687498925,-0.031048083079476745,-0.03556273279615611,0.00450704014459863,73
14.97315796216329,7.328989756987586,0.025542259216308594,0.0027196014340203595,"(0, 0.01)",4,1.0,0.3,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 1.0, 'spectral_radius': 0.3}",-0.008356392574929488,-0.022996704871701284,-0.012517413312790063,-0.01462350358647361,0.006159621104009034,59
7.514497359593709,1.5425776377908138,0.026192267735799152,0.0008477499840072815,"(0, 0.01)",4,1.0,0.6,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 1.0, 'spectral_radius': 0.6}",-0.01760831382008873,-0.026049973484983342,-0.017568622379801547,-0.02040896989495787,0.0039888248043434375,65
7.579682191212972,0.6728814026582483,0.02526744206746419,0.0026562808160107594,"(0, 0.01)",4,1.0,0.9,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 1.0, 'spectral_radius': 0.9}",-0.03395087715521163,-0.041791464516511515,-0.031197296162907492,-0.03564654594487688,0.004488174852454677,74
12.974410772323608,7.478442501527867,0.02515403429667155,0.001052736083361376,"(0, 0.01)",4,10.0,0.3,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 10.0, 'spectral_radius': 0.3}",-0.008396898342857149,-0.023167010661634797,-0.012608982738534806,-0.014724297247675586,0.006212620009934775,61
13.168329318364462,6.752541917627981,0.023977120717366535,0.0009620096865897979,"(0, 0.01)",4,10.0,0.6,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 10.0, 'spectral_radius': 0.6}",-0.017448182990621886,-0.026140007764978147,-0.017605611111315273,-0.020397933955638436,0.004060767959161178,64
11.690428336461386,4.53995998869702,0.024190425872802734,0.0006524335634496195,"(0, 0.01)",4,10.0,0.9,"{'beta_params': (0, 0.01), 'n_components': 4, 'scale': 10.0, 'spectral_radius': 0.9}",-0.03390397125503424,-0.04171422929473658,-0.03151839741281855,-0.03571219932086312,0.004354385796307174,75
79.13905175526936,29.306816302961582,0.02647852897644043,0.0027226606366865806,"(0, 0.01)",16,0.01,0.3,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 0.01, 'spectral_radius': 0.3}",-0.007171300861632912,-0.022746346124055208,-0.012277012339995591,-0.01406488644189457,0.006482945785407876,53
93.53104289372762,35.86248080286067,0.02569739023844401,0.0014014162190847661,"(0, 0.01)",16,0.01,0.6,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 0.01, 'spectral_radius': 0.6}",-0.00651048940282937,-0.021950022078488497,-0.011720753995885576,-0.013393755159067815,0.006413215105269915,37
61.321474154790245,12.126777362427564,0.024738470713297527,0.0004422046310257644,"(0, 0.01)",16,0.01,0.9,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 0.01, 'spectral_radius': 0.9}",-0.006678560566779736,-0.021996523777748675,-0.012144559482581096,-0.013606547942369837,0.006338404474606421,40
76.56140796343486,30.20333452981135,0.026853084564208984,0.003394694459271281,"(0, 0.01)",16,1.0,0.3,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 1.0, 'spectral_radius': 0.3}",-0.007238021771011837,-0.02281206918185214,-0.012315887532585224,-0.014121992828483067,0.0064850726258425225,56
